Start time UTC,End time UTC,Wind Turbine (MWh/h),Solar Panel (MWh/h),Hydropower (MWh/h)
2023/1/1 0:00,2023/1/1 1:00,3559,0,1069
2023/1/1 1:00,2023/1/1 2:00,3634,0,1091
2023/1/1 2:00,2023/1/1 3:00,3628,0,1089
2023/1/1 3:00,2023/1/1 4:00,3500,0,1051
2023/1/1 4:00,2023/1/1 5:00,3353,0,1007
2023/1/1 5:00,2023/1/1 6:00,3391,0,1018
2023/1/1 6:00,2023/1/1 7:00,3233,0,971
2023/1/1 7:00,2023/1/1 8:00,3214,0,965
2023/1/1 8:00,2023/1/1 9:00,3213,7.2,965
2023/1/1 9:00,2023/1/1 10:00,3249,23.9,976
2023/1/1 10:00,2023/1/1 11:00,3416,33.9,1026
2023/1/1 11:00,2023/1/1 12:00,3416,29.7,1026
2023/1/1 12:00,2023/1/1 13:00,3255,6.7,978
2023/1/1 13:00,2023/1/1 14:00,3490,0,1048
2023/1/1 14:00,2023/1/1 15:00,3600,0,1081
2023/1/1 15:00,2023/1/1 16:00,3503,0,1052
2023/1/1 16:00,2023/1/1 17:00,3541,0,1063
2023/1/1 17:00,2023/1/1 18:00,3620,0,1087
2023/1/1 18:00,2023/1/1 19:00,3676,0,1104
2023/1/1 19:00,2023/1/1 20:00,3604,0,1082
2023/1/1 20:00,2023/1/1 21:00,3335,0,1002
2023/1/1 21:00,2023/1/1 22:00,3298,0,990
2023/1/1 22:00,2023/1/1 23:00,3263,0,980
2023/1/1 23:00,2023/1/2 0:00,3264,0,980
2023/1/2 0:00,2023/1/2 1:00,3166,0,951
2023/1/2 1:00,2023/1/2 2:00,3143,0,944
2023/1/2 2:00,2023/1/2 3:00,2892,0,869
2023/1/2 3:00,2023/1/2 4:00,2578,0,774
2023/1/2 4:00,2023/1/2 5:00,2468,0,741
2023/1/2 5:00,2023/1/2 6:00,2392,0,719
2023/1/2 6:00,2023/1/2 7:00,2178,0,654
2023/1/2 7:00,2023/1/2 8:00,2047,0,615
2023/1/2 8:00,2023/1/2 9:00,2039,5,613
2023/1/2 9:00,2023/1/2 10:00,2017,11.1,606
2023/1/2 10:00,2023/1/2 11:00,1814,15,545
2023/1/2 11:00,2023/1/2 12:00,1915,9.1,576
2023/1/2 12:00,2023/1/2 13:00,1871,0,562
2023/1/2 13:00,2023/1/2 14:00,1873,0,563
2023/1/2 14:00,2023/1/2 15:00,1718,0,516
2023/1/2 15:00,2023/1/2 16:00,1648,0,495
2023/1/2 16:00,2023/1/2 17:00,1530,0,460
2023/1/2 17:00,2023/1/2 18:00,1448,0,435
2023/1/2 18:00,2023/1/2 19:00,1313,0,395
2023/1/2 19:00,2023/1/2 20:00,1115,0,336
2023/1/2 20:00,2023/1/2 21:00,981,0,295
2023/1/2 21:00,2023/1/2 22:00,861,0,259
2023/1/2 22:00,2023/1/2 23:00,729,0,220
2023/1/2 23:00,2023/1/3 0:00,667,0,201
2023/1/3 0:00,2023/1/3 1:00,576,0,174
2023/1/3 1:00,2023/1/3 2:00,459,0,139
2023/1/3 2:00,2023/1/3 3:00,369,0,112
2023/1/3 3:00,2023/1/3 4:00,325,0,99
2023/1/3 4:00,2023/1/3 5:00,313,0,95
2023/1/3 5:00,2023/1/3 6:00,326,0,99
2023/1/3 6:00,2023/1/3 7:00,350,0,106
2023/1/3 7:00,2023/1/3 8:00,334,0,101
2023/1/3 8:00,2023/1/3 9:00,292,0.1,89
2023/1/3 9:00,2023/1/3 10:00,259,8.4,79
2023/1/3 10:00,2023/1/3 11:00,188,12.4,57
2023/1/3 11:00,2023/1/3 12:00,162,10.7,50
2023/1/3 12:00,2023/1/3 13:00,174,0.8,53
2023/1/3 13:00,2023/1/3 14:00,247,0,75
2023/1/3 14:00,2023/1/3 15:00,332,0,101
