Start time UTC,End time UTC,Solar Panel (MWh/h)
2023/1/1 0:00,2023/1/1 1:00,0
2023/1/1 1:00,2023/1/1 2:00,0
2023/1/1 2:00,2023/1/1 3:00,0
2023/1/1 3:00,2023/1/1 4:00,0
2023/1/1 4:00,2023/1/1 5:00,0
2023/1/1 5:00,2023/1/1 6:00,0
2023/1/1 6:00,2023/1/1 7:00,0
2023/1/1 7:00,2023/1/1 8:00,0
2023/1/1 8:00,2023/1/1 9:00,7.2
2023/1/1 9:00,2023/1/1 10:00,23.9
2023/1/1 10:00,2023/1/1 11:00,33.9
2023/1/1 11:00,2023/1/1 12:00,29.7
2023/1/1 12:00,2023/1/1 13:00,6.7
2023/1/1 13:00,2023/1/1 14:00,0
2023/1/1 14:00,2023/1/1 15:00,0
2023/1/1 15:00,2023/1/1 16:00,0
2023/1/1 16:00,2023/1/1 17:00,0
2023/1/1 17:00,2023/1/1 18:00,0
2023/1/1 18:00,2023/1/1 19:00,0
2023/1/1 19:00,2023/1/1 20:00,0
2023/1/1 20:00,2023/1/1 21:00,0
2023/1/1 21:00,2023/1/1 22:00,0
2023/1/1 22:00,2023/1/1 23:00,0
2023/1/1 23:00,2023/1/2 0:00,0
2023/1/2 0:00,2023/1/2 1:00,0
2023/1/2 1:00,2023/1/2 2:00,0
2023/1/2 2:00,2023/1/2 3:00,0
2023/1/2 3:00,2023/1/2 4:00,0
2023/1/2 4:00,2023/1/2 5:00,0
2023/1/2 5:00,2023/1/2 6:00,0
2023/1/2 6:00,2023/1/2 7:00,0
2023/1/2 7:00,2023/1/2 8:00,0
2023/1/2 8:00,2023/1/2 9:00,5
2023/1/2 9:00,2023/1/2 10:00,11.1
2023/1/2 10:00,2023/1/2 11:00,15
2023/1/2 11:00,2023/1/2 12:00,9.1
2023/1/2 12:00,2023/1/2 13:00,0
2023/1/2 13:00,2023/1/2 14:00,0
2023/1/2 14:00,2023/1/2 15:00,0
2023/1/2 15:00,2023/1/2 16:00,0
2023/1/2 16:00,2023/1/2 17:00,0
2023/1/2 17:00,2023/1/2 18:00,0
2023/1/2 18:00,2023/1/2 19:00,0
2023/1/2 19:00,2023/1/2 20:00,0
