Start time UTC,End time UTC,Wind Turbine (MWh/h)
2023/1/1 0:00,2023/1/1 1:00,3559
2023/1/1 1:00,2023/1/1 2:00,3634
2023/1/1 2:00,2023/1/1 3:00,3628
2023/1/1 3:00,2023/1/1 4:00,3500
2023/1/1 4:00,2023/1/1 5:00,3353
2023/1/1 5:00,2023/1/1 6:00,3391
2023/1/1 6:00,2023/1/1 7:00,3233
2023/1/1 7:00,2023/1/1 8:00,3214
2023/1/1 8:00,2023/1/1 9:00,3213
2023/1/1 9:00,2023/1/1 10:00,3249
2023/1/1 10:00,2023/1/1 11:00,3416
2023/1/1 11:00,2023/1/1 12:00,3416
2023/1/1 12:00,2023/1/1 13:00,3255
2023/1/1 13:00,2023/1/1 14:00,3490
2023/1/1 14:00,2023/1/1 15:00,3600
2023/1/1 15:00,2023/1/1 16:00,3503
2023/1/1 16:00,2023/1/1 17:00,3541
2023/1/1 17:00,2023/1/1 18:00,3620
2023/1/1 18:00,2023/1/1 19:00,3676
2023/1/1 19:00,2023/1/1 20:00,3604
2023/1/1 20:00,2023/1/1 21:00,3335
2023/1/1 21:00,2023/1/1 22:00,3298
2023/1/1 22:00,2023/1/1 23:00,3263
2023/1/1 23:00,2023/1/2 0:00,3264
2023/1/2 0:00,2023/1/2 1:00,3166
2023/1/2 1:00,2023/1/2 2:00,3143
2023/1/2 2:00,2023/1/2 3:00,2892
2023/1/2 3:00,2023/1/2 4:00,2578
2023/1/2 4:00,2023/1/2 5:00,2468
2023/1/2 5:00,2023/1/2 6:00,2392
2023/1/2 6:00,2023/1/2 7:00,2178
2023/1/2 7:00,2023/1/2 8:00,2047
2023/1/2 8:00,2023/1/2 9:00,2039
2023/1/2 9:00,2023/1/2 10:00,2017
2023/1/2 10:00,2023/1/2 11:00,1814
2023/1/2 11:00,2023/1/2 12:00,1915
2023/1/2 12:00,2023/1/2 13:00,1871
2023/1/2 13:00,2023/1/2 14:00,1873
2023/1/2 14:00,2023/1/2 15:00,1718
2023/1/2 15:00,2023/1/2 16:00,1648
2023/1/2 16:00,2023/1/2 17:00,1530
2023/1/2 17:00,2023/1/2 18:00,1448
2023/1/2 18:00,2023/1/2 19:00,1313
2023/1/2 19:00,2023/1/2 20:00,1115
2023/1/2 20:00,2023/1/2 21:00,981
2023/1/2 21:00,2023/1/2 22:00,861
2023/1/2 22:00,2023/1/2 23:00,729
2023/1/2 23:00,2023/1/3 0:00,667
2023/1/3 0:00,2023/1/3 1:00,576
2023/1/3 1:00,2023/1/3 2:00,459
2023/1/3 2:00,2023/1/3 3:00,369
2023/1/3 3:00,2023/1/3 4:00,325
2023/1/3 4:00,2023/1/3 5:00,313
2023/1/3 5:00,2023/1/3 6:00,326
2023/1/3 6:00,2023/1/3 7:00,350
2023/1/3 7:00,2023/1/3 8:00,334
2023/1/3 8:00,2023/1/3 9:00,292
2023/1/3 9:00,2023/1/3 10:00,259
2023/1/3 10:00,2023/1/3 11:00,188
2023/1/3 11:00,2023/1/3 12:00,162
2023/1/3 12:00,2023/1/3 13:00,174
2023/1/3 13:00,2023/1/3 14:00,247
2023/1/3 14:00,2023/1/3 15:00,332
2023/1/3 15:00,2023/1/3 16:00,383
2023/1/3 16:00,2023/1/3 17:00,413
2023/1/3 17:00,2023/1/3 18:00,549
2023/1/3 18:00,2023/1/3 19:00,665
2023/1/3 19:00,2023/1/3 20:00,787
2023/1/3 20:00,2023/1/3 21:00,946
2023/1/3 21:00,2023/1/3 22:00,1048
2023/1/3 22:00,2023/1/3 23:00,984
2023/1/3 23:00,2023/1/4 0:00,1009
2023/1/4 0:00,2023/1/4 1:00,1168
2023/1/4 1:00,2023/1/4 2:00,1234
2023/1/4 2:00,2023/1/4 3:00,1283
2023/1/4 3:00,2023/1/4 4:00,1364
2023/1/4 4:00,2023/1/4 5:00,1449
2023/1/4 5:00,2023/1/4 6:00,1577
2023/1/4 6:00,2023/1/4 7:00,1665
2023/1/4 7:00,2023/1/4 8:00,1646
2023/1/4 8:00,2023/1/4 9:00,1642
2023/1/4 9:00,2023/1/4 10:00,1700
2023/1/4 10:00,2023/1/4 11:00,1623
2023/1/4 11:00,2023/1/4 12:00,1513
2023/1/4 12:00,2023/1/4 13:00,1540
2023/1/4 13:00,2023/1/4 14:00,1786
2023/1/4 14:00,2023/1/4 15:00,2132
2023/1/4 15:00,2023/1/4 16:00,2426
2023/1/4 16:00,2023/1/4 17:00,2512
2023/1/4 17:00,2023/1/4 18:00,2351
2023/1/4 18:00,2023/1/4 19:00,2356
2023/1/4 19:00,2023/1/4 20:00,2434
2023/1/4 20:00,2023/1/4 21:00,2766
2023/1/4 21:00,2023/1/4 22:00,2942
2023/1/4 22:00,2023/1/4 23:00,3016
2023/1/4 23:00,2023/1/5 0:00,2903
2023/1/5 0:00,2023/1/5 1:00,2825
2023/1/5 1:00,2023/1/5 2:00,3012
2023/1/5 2:00,2023/1/5 3:00,3060
2023/1/5 3:00,2023/1/5 4:00,3143
2023/1/5 4:00,2023/1/5 5:00,3154
2023/1/5 5:00,2023/1/5 6:00,3084
2023/1/5 6:00,2023/1/5 7:00,2795
2023/1/5 7:00,2023/1/5 8:00,2746
2023/1/5 8:00,2023/1/5 9:00,2498
2023/1/5 9:00,2023/1/5 10:00,2204
2023/1/5 10:00,2023/1/5 11:00,1964
2023/1/5 11:00,2023/1/5 12:00,1820
2023/1/5 12:00,2023/1/5 13:00,1788
2023/1/5 13:00,2023/1/5 14:00,1751
2023/1/5 14:00,2023/1/5 15:00,1771
2023/1/5 15:00,2023/1/5 16:00,1724
2023/1/5 16:00,2023/1/5 17:00,1648
2023/1/5 17:00,2023/1/5 18:00,1471
2023/1/5 18:00,2023/1/5 19:00,1191
2023/1/5 19:00,2023/1/5 20:00,919
2023/1/5 20:00,2023/1/5 21:00,718
2023/1/5 21:00,2023/1/5 22:00,585
2023/1/5 22:00,2023/1/5 23:00,509
2023/1/5 23:00,2023/1/6 0:00,423
2023/1/6 0:00,2023/1/6 1:00,320
2023/1/6 1:00,2023/1/6 2:00,264
2023/1/6 2:00,2023/1/6 3:00,230
2023/1/6 3:00,2023/1/6 4:00,212
2023/1/6 4:00,2023/1/6 5:00,189
2023/1/6 5:00,2023/1/6 6:00,244
2023/1/6 6:00,2023/1/6 7:00,276
2023/1/6 7:00,2023/1/6 8:00,332
2023/1/6 8:00,2023/1/6 9:00,409
2023/1/6 9:00,2023/1/6 10:00,498
2023/1/6 10:00,2023/1/6 11:00,539
2023/1/6 11:00,2023/1/6 12:00,559
2023/1/6 12:00,2023/1/6 13:00,622
2023/1/6 13:00,2023/1/6 14:00,713
2023/1/6 14:00,2023/1/6 15:00,898
2023/1/6 15:00,2023/1/6 16:00,1114
2023/1/6 16:00,2023/1/6 17:00,1374
2023/1/6 17:00,2023/1/6 18:00,1609
2023/1/6 18:00,2023/1/6 19:00,1883
2023/1/6 19:00,2023/1/6 20:00,1978
2023/1/6 20:00,2023/1/6 21:00,1927
2023/1/6 21:00,2023/1/6 22:00,1863
2023/1/6 22:00,2023/1/6 23:00,1986
2023/1/6 23:00,2023/1/7 0:00,2079
2023/1/7 0:00,2023/1/7 1:00,2260
2023/1/7 1:00,2023/1/7 2:00,2484
2023/1/7 2:00,2023/1/7 3:00,2743
2023/1/7 3:00,2023/1/7 4:00,2892
2023/1/7 4:00,2023/1/7 5:00,2995
2023/1/7 5:00,2023/1/7 6:00,2997
2023/1/7 6:00,2023/1/7 7:00,2870
2023/1/7 7:00,2023/1/7 8:00,2927
